electricity,gas,water
1036,90,204
348,120,196
453,67,151
598,108,250
954,127,268
1188,79,169
1154,100,159
1107,52,270
795,112,158
647,59,204
496,115,220
1075,50,219
1159,118,251
817,99,261
382,144,204
491,57,258
588,70,210
863,150,232
465,123,300
658,102,269
1008,149,253
879,65,281
401,107,157
1078,95,277
538,136,150
545,138,285
621,141,174
1077,98,272
905,108,177
1069,118,182
939,117,162
1015,53,213
1191,134,259
945,90,300
939,54,269
506,142,195
808,149,170
726,84,194
647,62,253
1008,81,295
943,80,237
777,115,171
483,132,294
314,133,206
597,73,277
994,102,296
671,100,181
897,104,220
689,121,240
972,101,196
1190,119,201
763,50,300
834,110,213
327,122,165
334,70,161
339,93,245
688,149,266
533,121,227
898,95,216
531,71,163
654,132,205
311,112,234
742,70,202
404,98,205
618,53,237
388,87,274
383,120,249
348,86,172
1183,115,291
317,147,155
532,68,225
1173,119,254
890,69,281
491,61,158
980,75,223
594,118,168
950,63,183
515,93,283
654,105,220
718,64,194
993,145,262
764,83,166
518,51,162
1163,67,267
1165,80,256
1200,123,252
421,80,171
300,131,161
954,91,263
1160,132,271
788,123,225
1050,60,234
1098,111,184
314,59,273
696,55,215
904,110,297
1033,75,253
648,92,170
932,50,229
1141,105,270
1079,137,210
808,137,250
761,139,265
405,68,259
847,127,228
401,110,289
849,149,183
907,149,209
1036,113,181
309,100,187
978,129,222
1188,68,162
748,136,192
611,145,251
865,126,157
415,134,265
651,119,299
840,132,211
1137,87,217
1068,111,166
303,62,180
781,77,241
965,138,244
794,107,175
955,149,209
725,94,241
1105,55,216
861,97,202
1101,121,269
1082,65,295
909,63,299
631,86,245
1007,117,191
427,135,158
1008,124,234
676,136,163
1159,74,277
604,94,193
600,105,215
389,111,182
937,148,154
1138,137,184
592,52,300
601,139,181
642,73,159
477,130,271
307,120,300
1199,136,175
803,86,264
763,112,283
496,137,268
420,124,283
586,122,246
458,60,189
369,140,192
819,112,226
853,149,290
994,140,244
1149,94,217
394,145,213
712,139,163
1162,142,216
1157,123,199
439,70,152
886,50,168
1168,121,261
523,68,227
868,149,199
561,125,294
1151,95,282
983,69,183
1061,112,160
992,97,275
496,123,250
759,146,238
510,99,191
446,127,286
815,67,163
935,71,199
668,57,234
369,55,216
848,64,266
568,110,281
1053,143,185
725,85,199
792,117,208
722,107,179
349,116,182
410,79,264
792,89,210
680,96,180
530,83,269
530,95,150
606,94,294
991,121,194
604,61,251
367,115,192
364,54,223
320,66,160
846,71,292
602,82,268
1085,91,256
481,120,264
611,55,274
977,147,243
783,123,250
1065,116,268
1120,114,245
763,112,192
828,134,207
1157,99,283
1032,60,155
426,67,291
1164,87,197
833,130,243
934,95,248
401,119,291
673,102,233
1024,82,282
853,86,269
508,144,186
433,94,223
683,114,205
536,54,258
340,54,287
884,55,218
1143,59,267
588,94,195
1115,78,269
430,62,203
808,144,278
348,91,264
1059,120,178
574,96,258
590,121,256
378,93,206
656,69,297
503,86,218
404,90,258
882,51,167
347,70,230
773,147,190
1081,101,201
1174,143,165
989,120,232
1153,88,202
463,67,242
773,51,269
1155,121,158
523,69,196
480,121,161
615,129,285
1055,96,208
1045,137,186
704,127,297
578,54,261
301,69,190
304,114,274
469,102,281
780,86,271
575,71,150
749,59,268
1063,102,257
304,52,233
696,110,287
313,88,228
1105,75,280
906,150,269
820,102,221
459,139,289
1172,57,230
882,52,188
800,89,218
687,141,222
675,138,261
349,51,280
1133,75,300
329,138,198
1025,129,205
355,53,199
781,143,291
1114,60,229
855,122,187
898,142,187
1117,134,265
599,99,255
504,147,276
1049,80,261
598,87,150
304,114,212
554,75,275
401,145,268
561,134,198
783,108,271
405,109,257
301,106,278
470,61,247
1018,64,162
1167,140,284
1120,122,296
1143,119,266
849,136,203
1018,124,252
641,119,163
780,60,211
321,80,222
761,148,203
405,117,218
757,82,225
772,75,292
1034,94,201
817,70,161
700,57,254
337,69,282
362,55,201
810,67,183
512,127,170
624,147,179
904,100,239
300,55,275
331,124,165
385,87,225
1189,147,265
933,129,273
849,129,157
853,114,179
767,54,214
631,146,260
723,54,236
346,76,245
695,127,152
943,105,254
880,77,226
400,124,179
1116,147,270
410,119,150
694,79,244
890,141,290
873,104,261
859,118,274
678,84,294
521,126,280
546,93,154
715,74,201
459,148,168
770,64,280
912,140,285
1130,74,156
979,139,210
684,110,158
407,138,277
1040,150,275
648,108,294
346,93,184
811,126,282
755,132,163
336,121,205
568,67,264
750,93,175
749,128,267
634,125,174
572,122,262
1105,103,243
338,63,230
936,73,283
857,100,181
805,84,170
746,81,167
1165,120,231
707,85,176
585,99,157
924,54,169
554,51,158
994,82,241
519,51,266
680,128,277
953,141,156
509,115,153
431,104,200
414,93,220
1086,79,241
725,124,206
424,87,178
1120,71,285
424,102,269
630,115,239
951,99,254
302,129,232
635,64,261
937,71,218
1007,55,175
604,116,297
566,103,262
995,98,295
1104,106,166
570,111,209
507,98,282
920,117,236
746,66,176
795,111,239
996,106,231
814,72,214
1119,137,292
865,92,191
648,104,294
975,117,193
359,67,222
538,55,153
948,122,214
374,108,217
939,63,225
954,64,240
350,150,281
1065,97,290
694,135,281
1171,119,177
799,122,287
350,88,170
743,93,278
850,65,197
1192,66,233
805,95,285
686,138,187
462,75,176
900,62,170
833,51,155
404,124,269
553,80,278
481,87,226
310,104,269
712,94,274
1071,65,160
1029,119,233
1008,122,291
378,87,264
674,119,263
971,118,290
631,100,189
806,103,159
1129,91,190
1185,61,204
698,79,205
1090,108,226
869,91,222
845,135,222
380,112,206
1146,98,218
499,56,277
413,139,282
951,85,156
622,103,272
1124,95,236
853,108,163
1091,127,255
686,135,277
893,141,160
427,137,225
774,115,217
351,126,259
997,51,218
1138,101,236
372,68,276
583,69,278
361,115,199
778,129,182
845,80,282
799,127,193
989,139,178
321,51,252
1074,126,261
908,133,185
512,128,155
375,84,208
502,116,264
912,150,257
966,96,189
1097,125,284
782,71,263
695,114,206
1133,83,192
470,104,258
414,67,225
996,145,153
700,137,165
417,125,152
595,58,239
857,95,257
482,150,180
618,68,167
892,114,196
408,129,193
945,87,189
833,144,234
905,129,185
399,95,286
376,85,272
363,126,295
860,111,213
806,91,259
756,126,162
725,133,164
314,82,276
752,105,156
743,72,162
1104,53,211
1040,138,273
607,73,181
731,99,167
636,109,169
506,69,230
611,81,224
979,77,269
703,72,268
349,76,209
614,74,217
610,97,216
956,56,176
515,137,200
372,117,165
681,69,220
537,79,167
485,126,255
736,68,215
841,56,284
1036,129,206
882,126,282
869,58,207
404,113,272
389,64,257
767,71,246
436,91,294
362,85,193
1099,130,278
489,52,193
443,121,257
1095,63,237
940,58,206
601,104,155
618,62,165
449,119,189
800,57,253
935,65,168
659,147,234
617,108,286
526,143,280
1171,133,214
548,89,150
817,133,209
570,89,200
1116,82,262
1094,121,194
394,109,267
949,98,238
687,86,282
1165,123,195
413,89,168
832,122,282
1091,97,188
517,94,205
881,90,201
1179,50,214
1058,68,191
1110,52,290
800,84,252
434,81,291
723,139,209
714,75,266
631,107,257
303,57,282
592,50,252
687,148,248
514,89,155
443,114,285
804,118,261
931,149,216
453,117,272
446,72,274
538,113,241
772,115,184
542,104,168
885,141,280
644,142,176
1126,85,215
304,149,299
587,112,293
748,84,170
1124,132,222
1016,65,228
303,117,202
921,94,211
854,115,207
684,127,295
779,87,286
1075,144,268
981,87,235
526,122,224
368,71,192
1124,79,287
512,105,238
783,62,193
856,123,210
498,93,269
661,142,283
1117,110,160
945,90,183
652,76,225
692,119,193
736,144,159
728,141,195
992,120,265
680,110,172
964,119,253
831,82,279
309,58,216
333,144,236
528,106,195
711,144,220
1003,108,162
1174,124,251
376,149,194
1198,88,186
751,100,189
372,116,238
642,109,164
977,142,202
386,150,179
767,116,182
474,89,218
1089,104,236
486,72,238
1000,131,241
786,103,204
618,61,193
979,55,218
908,98,197
559,74,234
485,64,231
1159,125,205
655,76,278
1183,62,201
736,63,154
694,124,159
1135,142,258
966,99,288
733,56,191
358,129,286
671,67,193
1162,115,197
385,93,205
498,64,230
652,122,273
812,114,158
831,146,162
1181,87,233
875,114,293
567,143,238
587,125,160
917,128,204
472,144,197
325,103,164
1010,55,288
1127,87,299
792,83,183
890,119,210
589,121,231
548,130,255
1139,78,263
575,102,260
419,98,192
1116,66,246
1040,89,203
968,108,168
1121,50,168
838,135,179
585,95,233
911,85,263
609,51,200
600,132,267
486,146,156
820,105,188
843,60,300
628,61,222
1169,67,267
1195,87,154
547,143,175
670,145,181
459,64,283
894,50,196
494,103,200
444,111,170
942,62,211
777,126,288
700,130,265
1015,131,249
1007,53,184
1192,51,201
667,71,150
785,106,272
1110,105,246
344,142,172
682,64,297
602,72,235
789,150,155
1046,98,210
620,127,190
1024,91,209
771,86,189
584,82,291
392,108,265
364,63,294
1013,137,218
415,142,182
789,59,215
438,59,259
330,86,167
575,108,284
490,103,223
492,75,272
889,75,259
697,115,226
1028,117,288
887,130,222
1041,58,257
1185,70,246
517,112,253
516,88,225
547,119,244
830,76,167
390,132,286
333,86,232
332,69,245
1188,118,194
420,81,255
602,128,241
748,134,184
643,118,286
746,67,169
1180,139,280
394,121,257
741,66,153
565,57,276
766,88,179
477,106,231
687,122,198
1035,119,234
861,75,274
307,97,254
1130,147,230
971,91,169
675,115,237
459,57,176
1067,84,266
328,144,226
868,132,276
574,55,207
1008,72,220
714,122,252
423,116,285
496,53,243
545,146,181
664,148,291
338,132,213
609,60,157
917,61,200
888,91,205
1057,72,300
506,136,283
873,145,218
922,102,260
954,115,157
571,98,187
792,109,270
627,127,194
1108,79,276
631,150,229
1167,138,208
1144,60,271
1124,73,250
952,61,229
1106,146,180
337,55,203
858,70,277
792,100,241
601,129,178
843,135,282
379,100,281
1063,83,194
1024,138,230
1015,126,208
1107,123,299
1153,135,229
766,146,162
502,101,251
547,64,240
626,100,256
691,82,156
606,140,212
1072,108,229
441,71,175
1002,97,176
570,87,256
972,109,250
511,131,177
1186,95,298
614,149,289
1167,138,255
769,94,185
305,129,286
699,60,244
1031,107,276
785,104,198
1158,79,297
538,113,158
721,138,234
1198,68,151
407,101,245
739,59,259
1117,90,176
826,89,293
456,141,203
908,81,285
811,86,276
1145,75,285
1170,149,243
1200,95,223
1141,114,272
630,98,278
915,95,198
510,58,171
807,144,276
768,100,280
953,104,206
573,81,183
994,53,219
458,112,152
486,67,258
339,61,156
602,83,212
1136,99,240
949,67,215
609,134,197
500,97,223
981,107,257
576,114,200
1106,115,153
1053,99,177
928,95,275
801,107,262
665,77,153
704,109,190
515,142,238
737,122,273
1168,134,225
836,145,239
336,116,297
496,83,155
911,67,220
793,101,220
412,137,275
471,139,254
1115,148,160
892,116,187
822,84,260
574,140,152
1161,60,220
993,97,280
565,110,295
350,63,295
416,143,279
550,54,175
893,77,285
1189,88,241
936,86,160
561,126,163
790,64,242
341,63,280
384,51,203
1108,127,151
543,117,158
1001,112,290
717,111,213
541,50,269
499,67,168
1010,108,176
449,101,289
766,149,150
487,117,291
590,109,191
865,56,286
1005,86,154
989,71,291
709,82,223
888,139,266
710,87,186
565,130,222
1068,108,299
758,138,281
808,115,295
433,138,270
896,111,219
1070,95,191
494,138,214
486,87,255
1145,73,262
594,100,288
853,72,201
1090,64,175
1122,97,191
765,60,171
934,57,165
1180,121,191
920,146,214
880,108,282
989,93,195
336,81,172
868,69,217
1142,70,153
394,110,266
1144,97,153
943,78,297
821,75,266
350,117,179
454,70,198
746,132,177
847,83,182
693,130,285
1101,145,172
1035,83,219
815,131,246
1018,139,152
679,89,158
392,94,290
990,86,221
903,136,239
977,97,174
955,141,170
921,126,198
947,78,256
1065,64,220
995,112,160
1167,58,187
331,104,223
784,78,217
535,77,256
1016,76,222
1144,53,186
833,74,229
1171,102,276
785,125,194
689,125,247
879,56,185
381,57,295
373,108,183
369,82,193
315,115,283
864,80,174
652,69,159
1073,52,261
969,98,155
339,103,263
1183,107,168
475,100,298
631,71,268
617,67,200
1129,135,229
445,129,154
869,76,155
1171,86,194
822,144,235
837,147,173
705,84,231
1184,118,211
431,89,199
538,75,292
472,150,294
774,66,247
984,137,216
774,71,171
305,65,222
778,138,231
635,114,287
345,132,281
558,85,225
451,56,171
495,109,171
437,142,300
744,56,266
328,71,257
667,144,237
1102,131,155
871,80,269
798,141,272
727,78,188
630,104,295
509,68,236
927,67,244
733,127,259
861,131,240
529,61,243
766,80,205
307,92,163
977,58,198
667,101,203
405,134,187
960,120,268
725,79,276
957,75,240
1128,125,231
919,89,167
563,61,264
873,143,259
894,74,219
1082,81,166
1063,127,167
1035,74,209
862,133,218
908,116,199
754,51,159
551,52,265
1171,62,284
1121,64,226
653,139,293
810,148,208
340,149,222
971,78,160
365,63,260
1062,130,281
390,79,248
563,134,176
1137,133,279
953,135,212
430,136,287
784,147,294
883,111,189
832,149,223
945,81,229
1172,97,299
870,70,300
541,81,166
634,119,228
1135,56,214
932,104,178
623,98,259
939,93,285
1010,95,214
777,75,167
1083,65,259
583,74,265
359,135,234
1003,117,234
465,97,180
1041,70,199
510,79,233
613,92,249
880,52,197
793,104,157
965,126,233
804,135,269
1077,103,190
392,69,169
1037,83,163
1105,67,217
1067,82,228
658,100,215
1178,55,229
582,118,277
423,101,203
784,109,185
885,86,162
575,107,226
419,115,261
382,88,221
310,64,269
382,82,295
814,88,228
1098,101,177
1011,109,277
400,142,281
447,115,222
1145,70,278
309,123,155
693,56,300
1037,135,291
376,83,176
491,141,184
645,124,236
626,98,217
674,105,205
816,99,165
700,68,227
793,128,192
645,63,248
585,102,275
1178,126,273
1178,58,295
341,79,261
1135,92,204
544,71,287
301,92,294
485,91,282
969,136,291
955,137,261
392,54,278
779,98,150
394,98,241
628,141,168
740,150,297
346,83,176
808,50,231
1176,93,255
356,78,165
363,66,218
1091,53,195
617,146,186
389,68,159
521,57,250
803,136,170
534,134,272
580,64,213
1059,119,152
922,126,187
318,113,297
1134,91,253
545,137,230
367,62,295
918,93,277
452,85,201
410,57,182
1169,54,169
703,70,272
856,56,218
1119,56,234
643,143,297
440,86,191
593,71,295
736,79,245
426,109,281
746,80,151
348,141,174
1161,102,164
369,92,201
526,122,169
373,122,287
380,116,251
1198,105,290
1105,145,275
868,83,187
1019,95,192
844,72,167
775,110,156
1069,127,185
1025,65,164
1131,83,268
310,133,237
417,144,235
1100,118,171
318,114,169
876,137,261
1172,120,239
745,120,250
1028,140,207
423,127,219
881,124,292
717,131,222
1169,79,255
423,128,209
305,125,195
623,79,199
879,78,226
656,76,265
773,93,191
377,114,212
420,78,211
1000,63,181
601,78,173
468,141,168
813,75,273
955,65,151
470,105,205
814,68,163
1022,86,224
1086,93,255
904,73,204
420,84,206
807,135,174
869,104,188
937,75,290
752,141,248
832,139,258
511,102,276
689,52,192
470,90,173
1042,106,165
709,55,158
550,97,280
732,103,251
440,101,173
373,103,177
761,105,249
379,63,164
1077,124,260
1032,77,171
399,107,269
951,97,297
1081,122,231
922,51,204
642,59,247
874,150,289
1023,125,176
1021,84,276
1180,94,270
709,93,265
397,91,252
1047,90,299
876,149,223
472,143,297
1166,65,249
456,59,270
398,62,192
1133,65,176
1171,126,233
580,85,239
1158,76,270
691,112,260
869,89,284
773,128,224
378,60,241
1152,59,209
997,77,174
993,128,224
838,138,208
429,101,170
627,146,177
1008,128,243
1090,67,198
928,130,159
574,53,299
1174,125,275
396,144,260
557,77,219
1156,107,252
355,147,172
761,91,237
1111,125,223
311,86,215
448,74,167
1195,77,152
796,141,270
352,119,191
730,102,179
502,114,252
681,74,277
875,112,178
375,144,278
811,117,206
493,81,183
448,85,246
672,133,232
548,95,164
566,128,251
401,106,193
350,85,170
511,112,275
1035,103,188
372,105,298
954,51,210
577,144,150
727,141,286
864,139,225
1137,87,254
469,108,162
977,124,237
1111,147,158
942,145,179
801,56,229
812,59,164
543,106,197
840,124,163
875,120,228
1070,99,194
928,59,152
877,144,165
824,85,166
487,75,267
414,141,215
688,126,298
502,54,258
665,108,203
495,117,237
982,98,273
862,143,295
768,88,225
382,134,159
755,114,300
583,66,163
618,127,254
514,92,274
757,131,299
970,122,213
614,88,163
456,71,245
848,128,238
563,53,271
704,90,160
1195,147,264
855,98,182
535,140,251
1104,115,154
1069,107,207
990,65,190
595,110,286
409,137,235
871,60,221
862,136,192
941,53,230
647,94,224
549,130,246
1002,144,208
301,127,256
1114,103,230
957,131,175
902,77,244
641,98,212
1112,132,264
734,69,269
371,74,177
1064,107,208
539,131,151
528,57,187
1161,125,239
1109,127,168
1009,73,156
1158,86,151
841,109,256
358,89,224
421,54,214
1191,69,251
1131,68,164
681,72,208
1048,123,250
1063,123,232
445,146,162
963,121,177
420,62,225
1131,109,219
741,97,169
1088,136,233
1136,139,264
809,51,277
1162,93,188
1089,80,199
938,67,245
378,105,249
953,144,258
506,114,260
651,97,289
406,125,197
383,95,260
1037,82,291
559,94,183
413,78,276
1112,132,207
1185,93,255
783,88,172
799,99,292
856,94,187
452,53,270
767,102,184
1078,62,292
955,89,257
1167,57,254
891,115,261
747,65,187
666,128,220
1036,127,271
764,102,275
1173,89,203
553,107,230
674,56,202
352,95,225
582,141,244
1042,53,200
470,126,266
374,98,266
380,108,237
595,127,221
892,148,227
990,58,221
728,52,196
984,105,262
731,79,287
649,84,160
583,124,255
570,71,275
654,123,290
996,139,231
301,57,292
1199,147,201
1015,73,151
467,96,290
398,63,299
397,76,155
918,114,236
596,80,195
1179,87,280
790,141,300
1160,92,253
859,85,300
421,75,257
891,67,268
1188,120,258
706,139,193
1043,118,198
618,100,247
893,113,166
301,101,267
635,136,277
832,116,166
708,149,173
755,135,164
491,118,173
1083,101,244
1045,104,152
302,137,231
678,62,291
1172,117,151
797,97,299
909,143,190
1002,59,223
990,69,178
1001,73,258
1083,110,174
455,52,221
1132,57,188
592,125,181
623,140,154
1146,95,272
592,132,293
692,55,291
713,97,190
837,138,257
706,66,227
695,64,150
472,94,244
1191,122,273
404,70,263
395,71,293
703,70,258
408,96,189
349,101,251
349,55,236
425,118,160
810,138,282
550,73,239
424,63,235
1060,150,182
1020,93,202
1069,108,273
354,93,273
345,70,212
1060,125,209
802,150,171
501,99,262
614,56,236
548,117,213
697,92,277
500,134,167
981,88,171
358,95,225
525,123,202
645,126,207
1004,63,150
870,66,190
1198,114,197
663,59,175
1000,76,257
624,85,289
1023,69,284
1072,88,153
399,63,276
1109,93,227
660,138,229
530,150,261
1003,146,218
835,51,196
1036,68,224
1137,80,270
693,63,157
776,58,251
702,141,151
1098,140,219
343,122,187
335,144,280
320,71,212
759,127,252
990,83,153
1180,106,244
1152,96,218
341,126,192
772,73,279
939,148,291
614,55,170
307,113,188
558,75,154
1013,136,176
1068,67,155
942,84,195
663,125,218
814,104,198
732,148,269
702,126,293
1061,127,203
735,120,222
1186,79,285
566,76,203
720,96,279
773,107,244
827,143,268
487,69,264
322,57,281
539,61,252
526,76,216
846,91,169
678,146,203
1185,120,227
942,144,228
331,98,239
625,140,186
1190,145,270
897,87,173
945,106,184
772,115,194
1028,59,203
684,56,159
716,76,201
1089,65,219
545,97,162
387,146,292
569,145,298
811,66,276
880,143,161
1013,112,163
339,69,276
1047,130,182
652,67,180
863,52,276
708,149,237
1048,50,273
888,102,299
707,81,283
367,97,170
470,143,184
603,81,220
1154,86,214
647,109,157
623,133,267
619,114,233
1198,94,256
885,107,193
490,58,208
510,89,176
551,75,153
393,53,162
1056,54,289
632,144,155
747,111,205
751,71,191
358,122,159
929,142,223
988,89,275
722,121,151
691,123,219
491,143,202
758,140,221
1124,74,294
699,100,279
471,127,272
508,99,200
1052,75,187
601,83,292
912,62,283
669,78,152
1074,58,191
1125,89,179
571,94,234
949,69,269
630,142,273
1062,111,155
955,109,235
1100,143,193
1017,110,268
991,74,300
947,71,262
601,126,178
1154,97,251
1018,86,283
728,136,194
424,60,181
576,58,274
863,86,276
626,82,190
557,124,250
583,109,214
800,58,182
455,78,205
798,77,275
564,115,204
354,92,288
791,56,188
877,122,265
1186,112,281
1164,67,191
692,111,215
967,73,228
590,52,262
927,87,291
1176,54,276
497,115,275
499,139,250
866,114,171
395,75,238
527,88,179
474,60,185
999,84,266
626,116,275
309,88,296
1044,95,277
807,81,240
773,58,243
879,72,192
530,150,237
1090,64,242
499,73,253
504,141,187
815,83,281
758,105,163
900,83,159
912,149,274
476,122,240
1027,69,251
499,105,289
749,143,198
1060,143,230
959,105,243
1107,53,172
1195,150,204
807,56,174
766,63,296
1052,64,213
1152,130,173
811,75,222
324,146,252
910,129,170
753,76,246
480,150,169
1198,144,245
677,61,226
504,94,213
726,100,216
871,147,251
449,121,287
737,137,263
864,131,196
409,112,209
337,89,185
683,128,169
510,72,274
788,64,222
399,63,188
431,85,264
757,55,253
382,71,235
604,99,173
579,97,238
910,65,268
575,65,271
948,72,293
1134,86,229
1065,77,164
846,51,257
870,131,165
350,62,257
909,90,286
635,107,162
988,59,242
642,110,232
1131,148,229
724,69,257
479,95,228
306,100,237
498,101,239
1161,100,278
804,123,270
610,92,202
1109,89,192
930,53,202
646,64,184
964,74,163
366,134,173
944,60,167
695,144,255
720,71,189
774,65,223
1015,95,179
380,104,210
1112,97,211
743,122,297
357,73,212
652,90,238
797,113,156
1078,122,255
953,77,227
1126,149,261
378,58,281
1007,90,293
491,99,233
751,118,293
959,96,276
495,64,259
1135,95,167
1176,86,217
969,109,167
1010,116,184
433,122,235
1199,102,153
1184,104,229
473,90,182
636,98,175
322,115,299
1013,120,282
938,130,229
1041,129,189
650,87,198
949,60,248
314,106,290
573,119,162
1190,92,300
685,74,205
753,130,155
916,64,150
708,62,214
964,139,265
946,114,240
490,120,181
485,149,276
417,137,160
471,93,274
1065,141,267
682,116,221
865,56,156
683,72,214
860,99,262
524,106,243
723,93,203
1063,136,266
959,96,247
779,100,275
742,126,220
940,60,163
1136,60,251
945,90,195
389,114,152
382,148,189
912,142,224
618,108,235
976,138,265
605,144,235
1171,129,285
1056,121,276
619,86,255
863,107,163
411,105,294
582,110,161
946,73,200
766,106,218
688,147,245
1064,89,238
404,74,189
674,83,224
518,83,200
551,70,221
398,75,275
355,139,163
1052,137,200
620,56,232
697,143,275
506,59,165
817,96,150
570,52,268
1113,70,262
441,121,257
382,81,193
711,132,212
672,73,252
1137,150,268
901,118,250
509,72,186
1146,53,245
898,73,214
429,143,215
1152,123,242
1048,78,223
706,55,291
886,117,240
884,57,277
846,105,280
1176,139,162
502,135,274
427,138,167
371,112,182
729,60,221
494,77,237
358,104,175
941,123,207
1083,105,263
899,95,154
722,66,257
360,87,184
875,106,210
654,70,205
901,72,184
943,51,242
627,146,212
459,84,300
330,76,152
772,144,188
375,89,202
859,68,163
999,62,206
301,61,168
950,86,297
1116,103,201
954,97,219
478,79,206
858,88,269
986,76,180
517,101,210
447,146,224
512,134,254
1121,71,273
539,116,155
464,123,156
456,88,159
511,107,184
404,104,264
489,124,206
587,147,215
1023,107,213
1139,64,184
1114,148,227
1029,65,176
341,101,264
962,90,277
922,61,239
502,121,171
543,125,159
1029,75,153
409,114,240
414,140,274
321,75,250
1117,118,169
912,51,211
331,112,253
747,148,178
512,65,183
328,51,270
480,109,210
1199,110,276
852,81,239
692,114,170
1048,84,251
382,92,298
947,71,203
741,50,203
978,109,262
823,148,242
321,87,174
914,65,259
948,88,230
851,145,257
913,60,150
787,116,174
433,77,252
393,52,215
616,118,170
894,124,200
393,133,152
604,118,200
824,65,209
412,110,229
580,84,219
1022,143,284
539,51,261
558,53,190
872,116,236
1194,142,205
869,114,151
433,53,201
1113,58,299
1124,129,198
528,53,176
938,64,242
1124,149,190
623,131,213
920,137,256
956,128,196
643,142,223
563,139,252
638,110,281
1047,144,231
945,67,164
883,65,264
556,74,215
450,138,286
373,56,228
1007,138,238
825,133,206
406,55,173
834,119,162
815,110,233
1110,111,293
445,53,279
1111,120,296
324,149,280
483,68,287
1126,137,168
927,117,286
675,58,253
551,128,272
1093,108,256
439,104,205
798,126,257
848,128,229
967,136,180
643,112,244
965,122,246
388,99,245
791,98,278
341,80,167
312,127,218
1167,139,273
530,115,268
754,79,158
521,53,290
468,140,180
592,69,183
714,76,228
902,74,250
480,118,266
974,139,281
785,63,189
741,56,291
1010,132,182
906,57,154
973,78,256
1119,118,212
564,81,253
982,132,237
899,116,236
1029,100,261
568,142,168
348,143,174
900,141,182
815,67,285
1177,57,280
467,80,159
714,134,231
1089,126,171
959,138,232
792,55,229
644,97,224
1061,82,221
348,111,154
1032,93,277
315,109,264
904,102,172
767,100,280
834,78,223
1096,124,246
890,66,193
989,70,240
355,136,236
897,68,199
604,114,277
924,123,270
434,63,235
1159,112,260
331,85,262
502,86,247
600,138,234
684,75,288
321,59,299
928,139,167
608,58,191
854,90,258
1173,70,156
1044,125,277
614,67,247
785,89,243
712,98,195
551,120,272
772,144,239
648,107,205
541,88,248
1031,91,168
332,150,235
706,89,223
483,61,188
416,83,194
718,68,267
907,124,296
1200,92,161
708,130,267
545,97,173
1194,98,262
308,129,173
686,60,204
842,120,225
1162,50,289
923,81,271
1047,137,277
880,116,159
325,150,283
1095,59,240
628,118,259
692,141,207
1104,146,173
523,138,276
639,127,230
1014,108,189
644,96,193
343,136,227
961,50,186
910,148,226
357,113,217
345,65,282
1114,99,241
511,93,232
642,52,293
871,58,164
486,76,295
680,99,235
618,60,158
1133,117,237
1187,83,152
801,101,189
930,117,258
384,50,180
721,91,274
414,85,243
1057,140,269
913,59,155
1069,136,151
431,85,269
874,136,166
697,106,242
471,102,218
1112,131,169
750,59,150
1036,69,229
862,86,173
995,90,233
650,109,175
525,121,254
706,65,184
793,103,265
1092,59,266
548,80,196
1014,62,215
342,55,173
1174,67,263
610,150,183
640,142,217
606,132,285
785,118,209
677,136,216
880,81,193
986,119,199
327,91,216
612,65,260
550,143,243
783,74,174
1030,75,236
1148,131,155
635,114,242
875,117,171
757,113,188
700,120,289
322,74,235
1137,86,171
734,118,254
398,134,292
792,139,258
823,93,297
595,66,159
712,52,247
1171,113,285
926,82,299
1134,87,287
390,125,237
481,139,226
683,104,235
795,103,266
951,142,178
812,134,181
1063,121,266
465,87,263
1068,66,210
879,143,176
330,80,237
1051,91,292
361,136,254
1172,116,209
699,76,167
944,67,296
597,139,265
334,97,251
610,105,224
538,75,194
1142,135,261
511,122,179
792,91,158
833,56,191
573,107,300
492,72,228
551,116,194
396,140,168
633,120,274
1193,91,254
347,108,273
378,138,198
777,149,220
1122,142,198
849,54,217
1141,101,168
435,51,282
492,77,277
729,70,189
372,100,157
549,71,286
480,66,179
317,150,292
548,107,213
348,111,157
633,111,184
726,142,216
486,64,175
806,93,170
1002,92,252
888,133,213
650,109,161
1113,127,221
781,87,300
706,78,300
468,126,157
580,56,153
1192,64,237
1186,56,157
917,147,196
706,120,156
1087,63,278
1025,123,182
584,134,169
948,52,174
602,140,221
1141,130,288
1081,103,155
528,103,206
568,114,226
447,76,255
469,63,298
655,145,261
1102,139,218
910,58,264
610,102,250
1037,108,175
711,97,241
929,59,252
871,59,174
992,129,195
1101,65,165
1066,144,181
648,128,293
902,121,221
937,127,213
915,61,176
684,82,151
399,145,255
1187,100,268
1196,133,286
1113,124,274
521,85,215
380,106,207
452,144,216
838,120,207
630,69,170
1072,128,216
1040,94,217
688,106,171
845,100,212
1075,96,192
741,59,272
1113,106,245
505,98,185
722,145,165
1058,139,234
827,72,212
982,85,150
577,93,221
600,144,168
688,86,293
852,138,195
889,87,211
812,83,223
997,124,300
317,51,216
685,56,231
763,54,158
1049,105,225
418,72,275
531,147,279
958,56,242
436,56,150
370,123,153
580,68,222
911,90,155
761,79,175
437,146,197
728,112,211
743,140,290
1030,121,165
572,150,262
471,128,203
358,114,166
981,76,216
675,97,159
700,129,166
694,114,247
470,121,249
983,112,227
840,146,273
848,78,177
805,123,190
1089,113,162
757,65,159
948,144,205
584,112,218
1073,69,220
581,130,201
